Wavelength,Albedo
0.1978248703,0.010394104
0.1980886368,0.010396642
0.1983527549,0.010411428
0.1986172253,0.010427072
0.1988820482,0.010443597
0.1991472243,0.010434748
0.1994127539,0.0104052
0.1996786376,0.01037583
0.1999448758,0.0097959125
0.200211469,0.010115262
0.2004784176,0.010239551
0.2007457221,0.010108996
0.2010133831,0.0099971371
0.201281401,0.010098406
0.2015497762,0.010206136
0.2018185092,0.010198814
0.2020876005,0.010209789
0.2023570507,0.010202639
0.2026268601,0.0098857943
0.2028970292,0.0099937757
0.2031675586,0.010043902
0.2034384487,0.0099124082
0.2037096999,0.0099378376
0.2039813129,0.0099344889
0.204253288,0.0098988322
0.2045256257,0.0098658003
0.2047983265,0.0098245538
0.2050713909,0.0097809275
0.2053448195,0.0097043413
0.2056186126,0.0096159831
0.2058927707,0.0095282612
0.2061672944,0.0094220394
0.2064421841,0.0093260442
0.2067174404,0.0092489066
0.2069930636,0.0091669859
0.2072690544,0.0090793516
0.2075454131,0.0089843749
0.2078221403,0.0088898871
0.2080992365,0.0088002342
0.2083767022,0.008717757
0.2086545378,0.0086364368
0.2089327438,0.0085562837
0.2092113208,0.0084751991
0.2094902692,0.0083870174
0.2097695896,0.0082526225
0.2100492824,0.0081329666
0.2103293481,0.0080683573
0.2106097872,0.0080047326
0.2108906003,0.0079421333
0.2111717877,0.0078805953
0.2114533501,0.0078200876
0.2117352879,0.0077383975
0.2120176016,0.0076096375
0.2123002918,0.0074862303
0.2125833588,0.007367803
0.2128668033,0.0072539964
0.2131506257,0.0071444924
0.2134348266,0.0071187518
0.2137194063,0.0070746393
0.2140043655,0.0069660549
0.2142897047,0.00683175
0.2145754243,0.0066790374
0.2148615249,0.0065326838
0.2151480069,0.0063626628
0.2154348709,0.0062016354
0.2157221174,0.0060678615
0.2160097469,0.0059195808
0.2162977599,0.0057796479
0.2165861569,0.0056738607
0.2168749384,0.0055522767
0.217164105,0.005417267
0.2174536572,0.0053028818
0.2177435954,0.0051816281
0.2180339202,0.0050703255
0.2183246321,0.0049678977
0.2186157316,0.0048574918
0.2189072192,0.0047578108
0.2191990955,0.0046393932
0.219491361,0.0045367292
0.2197840161,0.0044430073
0.2200770615,0.0043392494
0.2203704975,0.004244262
0.2206643249,0.0041613558
0.220958544,0.0040845171
0.2212531554,0.0039944598
0.2215481596,0.0039016057
0.2218435571,0.0038218341
0.2221393485,0.0037353885
0.2224355343,0.0036610806
0.222732115,0.003580268
0.2230290912,0.0035152757
0.2233264633,0.0034518256
0.2236242319,0.0033716562
0.2239223976,0.0032995044
0.2242209608,0.0032317791
0.2245199221,0.0031610685
0.2248192819,0.0031053452
0.225119041,0.0030524853
0.2254191997,0.0029999291
0.2257197586,0.0029344079
0.2260207183,0.002871302
0.2263220793,0.0028151111
0.2266238421,0.0027619489
0.2269260072,0.0027083481
0.2272285752,0.0026612564
0.2275315466,0.0026136197
0.227834922,0.0025635939
0.2281387019,0.0025144411
0.2284428868,0.0024615936
0.2287474774,0.0024178232
0.229052474,0.0023694288
0.2293578773,0.0023283146
0.2296636878,0.0022936556
0.229969906,0.0022530295
0.2302765326,0.0022076636
0.230583568,0.002163252
0.2308910127,0.0021250025
0.2311988674,0.0020910933
0.2315071326,0.0020574988
0.2318158087,0.0020242027
0.2321248965,0.0019891483
0.2324343963,0.0019526316
0.2327443089,0.0019153035
0.2330546346,0.0018824345
0.2333653741,0.0018536147
0.233676528,0.0018285338
0.2339880967,0.0018030157
0.2343000808,0.0017696777
0.2346124809,0.0017346746
0.2349252975,0.001706768
0.2352385313,0.0016855135
0.2355521827,0.0016590002
0.2358662522,0.001628738
0.2361807406,0.0016031242
0.2364956482,0.0015879761
0.2368109758,0.0015632301
0.2371267237,0.0015355381
0.2374428927,0.0015114506
0.2377594832,0.0014897017
0.2380764959,0.0014680603
0.2383939312,0.0014483911
0.2387117898,0.0014336824
0.2390300721,0.001417395
0.2393487789,0.0013923299
0.2396679106,0.0013653656
0.2399874678,0.0013452509
0.2403074511,0.0013338157
0.240627861,0.0013204176
0.2409486982,0.0013042881
0.2412699631,0.0012883774
0.2415916564,0.0012670639
0.2419137786,0.0012519985
0.2422363303,0.0012376279
0.2425593121,0.0012234808
0.2428827245,0.0012047433
0.2432065681,0.0011834456
0.2435308436,0.0011755763
0.2438555514,0.0011641053
0.2441806921,0.001155641
0.2445062664,0.0011301231
0.2448322747,0.0011283157
0.2451587177,0.0011093618
0.245485596,0.0010955478
0.2458129102,0.0010873874
0.2461406607,0.0010844567
0.2464688483,0.0010643928
0.2467974734,0.0010593661
0.2471265367,0.0010460615
0.2474560387,0.0010362352
0.2477859801,0.0010265283
0.2481163614,0.0010240107
0.2484471832,0.0010183839
0.2487784462,0.0010046771
0.2491101507,0.00097932904
0.2494422976,0.00097766828
